                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     36,                0.36532,                0.38933,                 1.0695,                0.97606,                0.98621,                0.99355,                0.95685,                0.32551,                0.48181,                0.56027,              0.0016634,              0.0016634,              0.0016634
                     37,                0.34752,                0.37254,                 1.0575,                0.97754,                0.95066,                0.99036,                0.95737,                0.30781,                0.34582,                0.55915,              0.0016535,              0.0016535,              0.0016535
                     38,                0.35754,                0.39201,                 1.0656,                0.95719,                0.95081,                0.98374,                0.92104,                0.34001,                0.49748,                0.55121,              0.0016436,              0.0016436,              0.0016436
                     39,                0.34252,                0.36334,                 1.0515,                0.91816,                0.95517,                0.98512,                0.91844,                0.35581,                0.56721,                0.58821,              0.0016337,              0.0016337,              0.0016337
                     40,                0.33267,                0.36124,                  1.039,                0.96977,                0.97011,                0.99231,                0.95395,                0.31981,                0.37015,                0.55078,              0.0016238,              0.0016238,              0.0016238
                     41,                0.33389,                0.36185,                 1.0436,                0.96864,                0.98046,                0.99273,                0.94772,                0.32588,                0.51382,                0.55313,              0.0016139,              0.0016139,              0.0016139
                     42,                0.33072,                0.35804,                 1.0425,                0.97136,                0.97446,                0.99112,                0.95484,                0.32446,                0.52752,                0.55373,               0.001604,               0.001604,               0.001604
                     43,                0.33885,                0.37593,                 1.0352,                0.98256,                0.97816,                0.99354,                0.94754,                0.34864,                0.43782,                0.58668,              0.0015941,              0.0015941,              0.0015941
                     44,                0.32635,                0.34975,                  1.034,                0.96537,                0.96134,                0.99055,                0.95333,                0.33913,                0.40023,                0.58227,              0.0015842,              0.0015842,              0.0015842
                     45,                0.32608,                0.34144,                 1.0403,                0.93149,                0.91379,                0.97321,                0.88273,                0.45797,                0.65592,                0.73873,              0.0015743,              0.0015743,              0.0015743
                     46,                0.32997,                0.35104,                 1.0433,                0.97232,                0.97126,                0.99213,                0.95625,                0.34483,                0.38984,                0.59927,              0.0015644,              0.0015644,              0.0015644
